[2026-05-10 21:45:40] User: LOGIN_SUCCESS | Action: User logged in: tarunshiva28@gmail.com | Details: 6 | IP: [0:0:0:0:0:0:0:1] | URI: /login
[2026-05-11 09:38:41] User: LOGIN_FAILED | Action: Failed login attempt: wrong@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:38:41] User: LOGIN_FAILED | Action: Failed login attempt: test@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:38:41] User: LOGIN_FAILED | Action: Failed login attempt: admin@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:38:41] User: LOGIN_FAILED | Action: Failed login attempt: customer@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:39:44] User: LOGIN_FAILED | Action: Failed login attempt: wrong@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:39:44] User: LOGIN_FAILED | Action: Failed login attempt: test@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:39:44] User: LOGIN_FAILED | Action: Failed login attempt: admin@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:39:44] User: LOGIN_FAILED | Action: Failed login attempt: customer@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:40:40] User: LOGIN_FAILED | Action: Failed login attempt: wrong@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:40:40] User: LOGIN_FAILED | Action: Failed login attempt: test@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:40:40] User: LOGIN_FAILED | Action: Failed login attempt: admin@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:40:41] User: LOGIN_FAILED | Action: Failed login attempt: customer@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:41:10] User: LOGIN_FAILED | Action: Failed login attempt: wrong@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:41:10] User: LOGIN_FAILED | Action: Failed login attempt: test@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:41:10] User: LOGIN_FAILED | Action: Failed login attempt: admin@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:41:10] User: LOGIN_FAILED | Action: Failed login attempt: customer@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:42:06] User: LOGIN_FAILED | Action: Failed login attempt: wrong@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:42:06] User: LOGIN_FAILED | Action: Failed login attempt: test@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:42:06] User: LOGIN_FAILED | Action: Failed login attempt: admin@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:42:06] User: LOGIN_FAILED | Action: Failed login attempt: customer@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:42:19] User: LOGIN_FAILED | Action: Failed login attempt: wrong@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:42:19] User: LOGIN_FAILED | Action: Failed login attempt: test@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:42:19] User: LOGIN_FAILED | Action: Failed login attempt: admin@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 09:42:19] User: LOGIN_FAILED | Action: Failed login attempt: customer@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 20:10:33] User: LOGIN_FAILED | Action: Failed login attempt: wrong@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 20:10:33] User: LOGIN_FAILED | Action: Failed login attempt: test@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 20:10:33] User: LOGIN_FAILED | Action: Failed login attempt: admin@example.com | Details: N/A | IP: null | URI: null
[2026-05-11 20:10:33] User: LOGIN_FAILED | Action: Failed login attempt: customer@example.com | Details: N/A | IP: null | URI: null
